Time,NoBlobs,Evolution_time,Circulation
0.02,98047,46.64462539200031,-0.6597953125987726
0.04,99501,47.83364154599985,-0.659795312456142
0.06,100981,49.82468752099885,-0.6597953130263597
0.08,102505,51.073817013002554,-0.6597953134851248
0.1,104035,52.461931452999124,-0.6597953145864834
0.12,105593,53.88074098299694,-0.6597953141295366
0.14,107215,56.000306306999846,-0.6597953150960456
0.16,108856,57.36117231699973,-0.6597953124822111
0.18,110495,58.972812044998136,-0.6597953114905845
0.2,112106,60.91168556699995,-0.6597953105920409
0.22,113770,62.830601277000824,-0.6597953121484895
0.24,115439,64.52382074300112,-0.6597953124922821
0.26,117076,66.37333795000086,-0.6597953113811539
0.28,118715,68.29708413299886,-0.6597953087299815
0.3,120225,70.29256801500014,-0.6597953077971567
0.32,121527,71.90395115000138,-0.6597953066212466
0.34,122670,73.66927911499806,-0.6597953064447798
0.36,123787,75.19740986500256,-0.6597953069450546
0.38,124908,76.68420817000151,-0.659795307951188
0.4,126119,77.89572033599688,-0.659795308721291
0.42,127188,78.92585614500058,-0.6597953074805789
0.44,128260,80.4336964819995,-0.6597953079958353
0.46,129197,82.09639270700063,-0.6597953070322436
0.48,130213,83.22847778400319,-0.6597953077660031
0.5,131114,84.33396576299856,-0.6597953066489874
0.52,131988,85.45237355100107,-0.6597953069966125
0.54,132844,86.16695228599929,-0.6597953070352611
0.56,133723,87.45901563600273,-0.6597953058860467
0.58,134546,88.5417406930028,-0.6597953049787503
0.6,135349,89.96870511400266,-0.6597953048657244
0.62,136143,91.17550912099978,-0.6597953044545245
0.64,136911,92.25200332000168,-0.659795302753916
0.66,137683,93.08089427899904,-0.6597953025768214
0.68,138438,93.70916712300095,-0.6597953018016134
0.7000000000000001,139218,94.96352893799849,-0.6597953019768353
0.72,139879,96.088865558002,-0.6597953029777183
0.74,140637,96.97878306100029,-0.6597953051833373
0.76,141339,98.19320347599933,-0.6597953045341133
0.78,142091,99.36085618799916,-0.6597953049464342
0.8,142865,100.18103227299798,-0.659795305543264
0.8200000000000001,143610,101.14955209099935,-0.6597953044781724
0.84,144366,101.70824906299822,-0.6597953042000505
0.86,145196,103.2202785720001,-0.6597953045490488
0.88,146046,104.62289031299952,-0.6597953036872499
0.9,146830,106.0360715880015,-0.6597953030009345
0.92,147721,107.34601296800247,-0.6597953042946796
0.9400000000000001,148561,108.2785407529991,-0.6597953039061845
0.96,149534,109.54564316100004,-0.6597953019448182
0.98,150429,110.28895321299933,-0.6597953014387274
1.0,151373,111.81843118400138,-0.6597953027321652
1.02,152352,113.46939185299925,-0.6597953026054175
1.04,153341,115.44585451699822,-0.659795302493047
1.06,154310,116.70016081600261,-0.6597953019212525
1.08,155269,117.99494294100077,-0.6597953027428746
1.1,156296,118.90917791899847,-0.6597953018133786
1.12,157209,120.88640027600195,-0.6597952291431923
1.1400000000000001,158122,123.10288577999745,-0.6597952292588823
1.16,158964,123.99156652799866,-0.6597973791579278
1.18,159928,125.10062990299775,-0.6597973796900483
1.2,160799,126.4743140970022,-0.6597973801999202
1.22,161693,127.45984048299943,-0.6597973785807929
1.24,162449,129.1855046089986,-0.6597973787082879
1.26,163266,130.79949774699708,-0.6597973798157776
1.28,164124,132.3823721029985,-0.6597973809061597
1.3,164992,134.35962779799956,-0.6597973849441259
